Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
CBRL,"Cracker Barrel Old Country Store, Inc.",168.46,1981.0,4048830812.5,Consumer Services,Restaurants,NASDAQ
CRAY,Cray Inc,22.32,,911475010.08,Technology,Computer Manufacturing,NASDAQ
CACC,Credit Acceptance Corporation,429.12,1992.0,8286090494.4,Finance,Finance: Consumer Services,NASDAQ
CREE,"Cree, Inc.",48.41,1993.0,4964897310.53,Technology,Semiconductors,NASDAQ
CRSP,CRISPR Therapeutics AG,37.13,2016.0,1934900254.91,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CRTO,Criteo S.A.,24.95,2013.0,1646656312.55,Technology,Advertising,NASDAQ
CROX,"Crocs, Inc.",29.39,2006.0,1963281595.73,Consumer Non-Durables,Shoe Manufacturing,NASDAQ
CRON,Cronos Group Inc.,14.9,,2662636645.4,Consumer Durables,Specialty Chemicals,NASDAQ
CSGS,"CSG Systems International, Inc.",35.22,1996.0,1173826811.52,Technology,EDP Services,NASDAQ
CSX,CSX Corporation,67.36,,56880155516.96,Transportation,Railroads,NASDAQ
CTRP,"Ctrip.com International, Ltd.",32.4,2003.0,15776088508.8,Miscellaneous,Business Services,NASDAQ
CVBF,CVB Financial Corporation,22.5,,3157500937.5,Finance,Major Banks,NASDAQ
CYBR,CyberArk Software Ltd.,78.52,2014.0,2793617773.96,Technology,Computer Software: Prepackaged Software,NASDAQ
CY,Cypress Semiconductor Corporation,13.29,1986.0,4810316018.31,Technology,Semiconductors,NASDAQ
CONE,CyrusOne Inc,52.15,2013.0,5519269018.55,Consumer Services,Real Estate Investment Trusts,NASDAQ
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",50.71,2014.0,1959628416.46,Consumer Services,Restaurants,NASDAQ
DCPH,"Deciphera Pharmaceuticals, Inc.",26.75,2017.0,1007437126.75,Health Care,Major Pharmaceuticals,NASDAQ
DNLI,Denali Therapeutics Inc.,21.55,2017.0,2046325332.6,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DENN,Denny&#39;s Corporation,18.16,,1136584895.84,Consumer Services,Restaurants,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,40.83,1987.0,9086619528.75,Health Care,Medical/Dental Instruments,NASDAQ
DXCM,"DexCom, Inc.",149.52,2005.0,13284006464.4,Health Care,Medical/Dental Instruments,NASDAQ
FANG,"Diamondback Energy, Inc.",106.89,2012.0,17539070020.92,Energy,Oil & Gas Production,NASDAQ
DIOD,Diodes Incorporated,31.8,,1597023125.4,Technology,Semiconductors,NASDAQ
DISCA,"Discovery, Inc.",27.71,,14506191290.17,Consumer Services,Television Services,NASDAQ
DISCB,"Discovery, Inc.",35.0,,18322507945.0,Consumer Services,Television Services,NASDAQ
DISCK,"Discovery, Inc.",25.92,,13569125883.84,Consumer Services,Television Services,NASDAQ
DISH,DISH Network Corporation,29.8,1995.0,13936681832.6,Consumer Services,Television Services,NASDAQ
DOCU,"DocuSign, Inc.",47.0,2018.0,7766781255.0,Technology,Computer Software: Prepackaged Software,NASDAQ
DLTR,"Dollar Tree, Inc.",94.66,1995.0,22526236508.26,Consumer Services,Department/Specialty Retail Stores,NASDAQ
DORM,"Dorman Products, Inc.",93.39,,3086193116.49,Capital Goods,Auto Parts:O.E.M.,NASDAQ
DBX,"Dropbox, Inc.",23.59,2018.0,9589890780.4,Technology,Computer Software: Prepackaged Software,NASDAQ
DNKN,"Dunkin&#39; Brands Group, Inc.",68.9,2011.0,5690957139.4,Consumer Services,Restaurants,NASDAQ
